PartcipantID:1
RandID:1
InitialTimeStamp:12-03-49-905
block;trial;eventType;elapsedTime
1;0;RewardScene;0.057
1;1;Trial;2.167
1;1;AnswerScreen;10.208
1;1;TrialAnswer;10.238
1;1;ParticipantAnswer;11.781
1;1;InterTrialRest;11.808
1;1;RewardScene;12.174
1;2;Trial;14.229
1;2;AnswerScreen;22.27
1;2;TrialAnswer;22.299
1;2;InterTrialRest;25.358
1;2;RewardScene;25.722
1;3;Trial;27.788
1;3;AnswerScreen;35.834
1;3;TrialAnswer;35.88
1;3;InterTrialRest;39.002
1;3;RewardScene;39.418
1;4;Trial;41.541
1;4;ParticipantSkip;45.896
1;4;AnswerScreen;45.896
1;4;TrialAnswer;45.925
1;4;ParticipantAnswer;48.291
1;4;InterTrialRest;48.319
1;4;RewardScene;48.681
1;5;Trial;50.745
