PartcipantID:1
RandID:1
InitialTimeStamp:16-43-28-076
block;trial;eventType;elapsedTime
1;0;RewardScene;0.205
1;1;Trial;2.002
1;1;ParticipantSkip;4.082
1;1;AnswerScreen;4.082
1;1;TrialAnswer;4.112
1;1;InterTrialRest;7.185
1;1;RewardScene;7.569
1;2;Trial;9.751
1;2;AnswerScreen;17.876
1;2;TrialAnswer;17.924
1;2;InterTrialRest;21.058
1;2;RewardScene;21.446
1;3;Trial;23.525
1;3;AnswerScreen;31.584
1;3;TrialAnswer;31.614
1;3;InterTrialRest;34.684
1;3;RewardScene;35.04
1;4;Trial;37.115
1;4;AnswerScreen;45.146
1;4;TrialAnswer;45.176
1;4;InterTrialRest;48.242
1;4;RewardScene;48.622
1;5;Trial;50.689
1;5;AnswerScreen;58.728
1;5;TrialAnswer;58.758
1;5;InterTrialRest;61.833
1;5;RewardScene;62.199
1;6;Trial;64.267
1;6;AnswerScreen;72.309
1;6;TrialAnswer;72.345
